Date,Price
05/09/2017 00:00,4488.72014
06/09/2017 00:00,4641.822017
07/09/2017 00:00,4654.6585
08/09/2017 00:00,4310.750183
09/09/2017 00:00,4375.55952
10/09/2017 00:00,4329.955
11/09/2017 00:00,4248.090017
12/09/2017 00:00,4219.036617
13/09/2017 00:00,3961.271267
14/09/2017 00:00,3319.63
15/09/2017 00:00,3774.265283
16/09/2017 00:00,3763.62604
17/09/2017 00:00,3746.060783
18/09/2017 00:00,4093.316667
19/09/2017 00:00,3943.413333
20/09/2017 00:00,3977.561667
21/09/2017 00:00,3658.898183
22/09/2017 00:00,3637.50255
23/09/2017 00:00,3776.3869
24/09/2017 00:00,3703.04065
25/09/2017 00:00,3942.555
26/09/2017 00:00,3910.307383
27/09/2017 00:00,4202.554983
28/09/2017 00:00,4201.98905
29/09/2017 00:00,4193.574667
30/09/2017 00:00,4335.368317
01/10/2017 00:00,4360.722967
02/10/2017 00:00,4386.88375
03/10/2017 00:00,4293.3066
04/10/2017 00:00,4225.175
05/10/2017 00:00,4338.852
06/10/2017 00:00,4345.603333
07/10/2017 00:00,4376.191667
08/10/2017 00:00,4602.280883
09/10/2017 00:00,4777.967817
10/10/2017 00:00,4782.28
11/10/2017 00:00,4819.485767
12/10/2017 00:00,5325.130683
13/10/2017 00:00,5563.806567
14/10/2017 00:00,5739.438733
15/10/2017 00:00,5647.311667
16/10/2017 00:00,5711.205867
17/10/2017 00:00,5603.71294
18/10/2017 00:00,5546.1761
19/10/2017 00:00,5727.6335
20/10/2017 00:00,5979.45984
21/10/2017 00:00,6020.371683
22/10/2017 00:00,5983.18455
23/10/2017 00:00,5876.079867
24/10/2017 00:00,5505.827767
25/10/2017 00:00,5669.622533
26/10/2017 00:00,5893.138417
27/10/2017 00:00,5772.504983
28/10/2017 00:00,5776.69695
29/10/2017 00:00,6155.43402
30/10/2017 00:00,6105.87422
31/10/2017 00:00,6388.645167
01/11/2017 00:00,6665.306683
02/11/2017 00:00,7068.0201
03/11/2017 00:00,7197.72006
04/11/2017 00:00,7437.543317
05/11/2017 00:00,7377.012367
06/11/2017 00:00,6989.071667
07/11/2017 00:00,7092.127233
08/11/2017 00:00,7415.87825
