1,1.1456,0.0091,1.3079,1.0044,0.7632,0.725,0.1274
0.8729,1,0.008,1.1417,0.8768,0.6662,0.6329,0.1112
109.5,125.4432,1,143.2151,109.9839,83.575,79.3875,13.9546
0.7646,0.8759,0.007,1,0.768,0.5836,0.5543,0.0974
0.9956,1.1406,0.0091,1.3021,1,0.7599,0.7218,0.1269
1.3102,1.501,0.012,1.7136,1.316,1,0.9499,0.167
1.3793,1.5801,0.0126,1.804,1.3854,1.0528,1,0.1758
7.8469,8.9894,0.0717,10.263,7.8816,5.9891,5.689,1
