,adjusted_close_price,daily_effr,daily_returns,daily_excess_returns,normalised_excess_returns,risk_free_rate_factor
2014-01-02,154.40023803710938,3.1746031746031746e-06,0.0,-3.1746031746031746e-06,-0.054778222344734805,1.0000031746031746
2014-01-03,154.3749237060547,3.1746031746031746e-06,-0.00016395266857427426,-0.00016712727174887743,-0.07468570036300926,1.0000031746031746
2014-01-06,153.92755126953125,3.1746031746031746e-06,-0.00289796053519209,-0.002901135138366693,-0.40665468860687465,1.0000031746031746
2014-01-07,154.87289428710938,2.777777777777778e-06,0.006141480259910015,0.006138702482132237,0.6909814174948496,1.0000027777777778
2014-01-08,154.90673828125,2.777777777777778e-06,0.00021852754993956225,0.00021574977216178446,-0.028195964016324456,1.0000027777777778
2014-01-09,155.0080108642578,2.777777777777778e-06,0.0006537648660831508,0.000650987088305373,0.024651466764810136,1.0000027777777778
2014-01-10,155.4300079345703,2.777777777777778e-06,0.0027224210410778937,0.002719643263300116,0.2758320525350217,1.0000027777777778
2014-01-13,153.3620147705078,2.777777777777778e-06,-0.013304980109973608,-0.013307757887751386,-1.6702487211370507,1.0000027777777778
2014-01-14,155.03330993652344,2.777777777777778e-06,0.010897712634491352,0.010894934856713574,1.2684931607934287,1.0000027777777778
2014-01-15,155.8689727783203,2.777777777777778e-06,0.005390214800542026,0.005387437022764248,0.5997611845562086,1.0000027777777778
2014-01-16,155.66636657714844,2.777777777777778e-06,-0.0012998494668982064,-0.0013026272446759841,-0.21256049646952746,1.0000027777777778
2014-01-17,155.0080108642578,2.777777777777778e-06,-0.004229273974634351,-0.004232051752412129,-0.5682573844865264,1.0000027777777778
2014-01-21,155.46380615234375,2.777777777777778e-06,0.0029404627899205504,0.0029376850121427727,0.3023071404972825,1.0000027777777778
2014-01-22,155.5650634765625,2.777777777777778e-06,0.0006513241038208495,0.0006485463260430717,0.024355104274909067,1.0000027777777778
2014-01-23,154.29051208496094,2.777777777777778e-06,-0.008193043882205542,-0.00819582165998332,-1.0495466674891014,1.0000027777777778
2014-01-24,150.99851989746094,2.777777777777778e-06,-0.021336322908094618,-0.021339100685872397,-2.645431263764528,1.0000027777777778
2014-01-27,150.25572204589844,2.777777777777778e-06,-0.0049192392883513625,-0.00492201706612914,-0.6520344247484283,1.0000027777777778
2014-01-28,151.15048217773438,2.777777777777778e-06,0.005954915524365889,0.005952137746588111,0.6683283347232976,1.0000027777777778
2014-01-29,149.6986541748047,2.777777777777778e-06,-0.009605182742470575,-0.009607960520248354,-1.221011539417928,1.0000027777777778
2014-01-30,151.2855682373047,2.777777777777778e-06,0.010600723642090637,0.010597945864312858,1.2324321323923673,1.0000027777777778
